ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
286,Communauté de Communes Fier et Usses,CC FIER ET USSES,247400567,,"16,057.00",EPCI
109,Communauté de communes Maremne Adour Côte Sud,CC MAREMNE ADOUR COTE SUD,244000865,,"70,052.00",EPCI
879,Communauté de Communes Sud Retz Atlantique,CC SUD RETZ ATLANTIQUE,200071546,,"25,459.00",EPCI
585,Communauté de Communes Sud-Hérault,CC SUD HERAULT,200042653,,"18,235.00",EPCI
986,commune de BOURGHEIM,BOURGHEIM,216700609,67060,641.00,Commune
945,Commune de Brieuil sur Chizé,BRIEUIL SUR CHIZE,217900554,79055,126.00,Commune
126,Commune de Chelles,CHELLES,217701085,77108,"55,448.00",Commune
643,COMMUNE DE COMBREUX,COMBREUX,214501017,45101,280.00,Commune
848,COMMUNE DE KRUTH,KRUTH,216801712,68171,957.00,Commune
638,COMMUNE DE LA COUDRAY,LA COUDRAY,212801104,28630,"4,220.00",Commune
310,Commune de LES BELLEVILLE,LES BELLEVILLE,200084606,73257,"3,611.00",Commune
580,COMMUNE DE MAMOUDZOU,MAMOUDZOU,200008837,97611,"72,974.00",Commune
786,COMMUNE DE MAMOUDZOU,MAMOUDZOU,200008837,97611,"72,974.00",Commune
851,Commune de NIEDERENTZEN,NIEDERENTZEN,216802348,68234,744.00,Commune
817,Commune de Phalsbourg,PHALSBOURG,215705401,57540,"4,969.00",Commune
268,Commune de Sailly-Lez-Lannoy,SAILLY LEZ LANNOY,215905225,59522,"1,975.00",Commune
189,commune de Saint Jean d'Angély,SAINT JEAN D ANGELY,211703475,17347,"7,230.00",Commune
100,Commune de Saint-André-de-Cubzac,SAINT ANDRE DE CUBZAC,213303662,33366,"12,553.00",Commune
819,Commune de Saint-Bernard,SAINT BERNARD,216800813,68081,579.00,Commune
34,Commune de Saint-Fons (69),SAINT FONS,216901991,69199,"19,678.00",Commune
878,Commune de Stenay,STENAY,215505025,55502,"2,636.00",Commune
184,Commune de Taiarapu-ouest,TAIARAPU OUEST,200 013 761,98748,"8,078.00",Commune
674,Commune de Vandœuvre-lès-Nancy,VANDOEUVRE LES NANCY,215405473,54547,"30,223.00",Commune
645,Commune de Vandouvre-lès-Nancy,VANDOUVRE LES NANCY,215405473,54547,"30,223.00",Commune
251,Commune les Belleville,COMMUNE LES BELLEVILLE,200084606,73440,"3,611.00",Commune
311,Commune Les Belleville,COMMUNE LES BELLEVILLE,200084606,73440,"3,611.00",Commune
630,Communuté d'agglomération du Cotentin,COMMUNUTE D AGGLOMERATION DU COTENTIN,,,,EPCI
840,conduisature des autocarrrrr,CONDUISATURE DES AUTOCARRRRR,,,,
866,conseil de développement,CONSEIL DE DEVELOPPEMENT,,,,
391,Conseil départemental d'Indre-et-Loire,CONSEIL DEPARTEMENTAL D INDRE ET LOIRE,,,,
568,Conseil départemental de l'Ariège,ARIEGE,220900013,9,"157,339.00",Departement
733,Conseil départemental de l'Ariège,ARIEGE,220900013,9,"157,339.00",Departement
788,Conseil Départemental de l'Ariège,ARIEGE,220900013,9,"157,339.00",Departement
542,Conseil Départemental de l'Essonne,ESSONNE,229102280,91,"1,316,011.00",Departement
616,Conseil Départemental de l'Hérault,HERAULT,223400011,34,"1,193,790.00",Departement
389,Conseil départemental de l'Isère,ISERE,223800012,38,"1,296,116.00",Departement
107,Conseil départemental de l'Yonne,YONNE,228900015,89,"344,022.00",Departement
233,Conseil Départemental de la Haute-Garonne,HAUTE GARONNE,223100017,31,"1,423,290.00",Departement
792,Conseil Départemental de la Haute-Garonne,HAUTE GARONNE,223100017,31,"1,423,290.00",Departement
696,Conseil départemental de la Marne,MARNE,225100015,51,"578,349.00",Departement
150,Conseil Départemental de la Mayenne,MAYENNE,225300011,53,"316,615.00",Departement
699,Conseil Départemental de la Meuse,MEUSE,225500016,55,"189,535.00",Departement
