ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
648,Syndicat Mixte du Pays Sancerre Sologne,SYNDICAT MIXTE DU PAYS SANCERRE SOLOGNE,,,,
649,,,,,,
650,Département des Hauts-de-Seine,DES HAUTS DE SEINE,,,,
651,,,,,,
652,SMMAG,SMMAG,,,,
653,BORDEAUX METROPOLE,BORDEAUX METROPOLE,243300316,,824449,GFP
654,,,,,,
655,Mairie de PORTS-sur-VIENNE,PORTS SUR VIENNE,213701873,37187,367,Commune
656,,,,,,
657,,,,,,
658,Région GUADELOUPE,REGION GUADELOUPE,,,,
659,,,,,,
660,,,,,,
661,,,,,,
662,SMCG,SMCG,,,,
663,,,,,,
664,Agence régionale de la biodiversité Occitanie,AGENCE REGIONALE DE LA BIODIVERSITE OCCITANIE,,,,
665,Seine Normandie Agglomération,SEINE NORMANDIE AGGLOMERATION,,,,
666,,,,,,
667,,,,,,
668,,,,,,
669,,,,,,
670,,,,,,
671,,,,,,
672,,,,,,
673,ddt de la marne,DDT DE LA MARNE,,,,
674,Commune de Vandœuvre-lès-Nancy,VANDOEUVRE LES NANCY,215405473,54547,30223,Commune
675,Département de la Haute-Marne,LA HAUTE MARNE,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,,,,,,
681,,,,,,
682,,,,,,
683,Communauté de communes de Sélestat,CC DE SELESTAT,246700967,,37449,GFP
684,,,,,,
685,CC DE LA MOIVRE A LA COOLE,CC DE LA MOIVRE A LA COOLE,200043438,,9979,GFP
686,Communauté de Communes du Pays de Saverne,CC DU PAYS DE SAVERNE,200068112,,36559,GFP
687,,,,,,
688,CCI Grand Est,CCI GRAND EST,,,,
689,SGARE Grand-Est (PFRIM),SGARE GRAND EST  PFRIM,,,,
690,CC Mad et Moselle,CC MAD ET MOSELLE,200070738,,20221,GFP
691,Metz Métropole,METZ METROPOLE,200039865,,228793,GFP
