ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
277,SAINTE FOY TOURISME,SAINTE FOY TOURISME,,,,
279,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,259 302 539,73602,,
280,Service Départemental d'Incendie et de Secours du Tarn,SERVICE DEPARTEMENTAL D INCENDIE ET DE SECOURS DU TARN,,,,
282,Ccva,CCVA,,,,
283,ANGERS LOIRE METROPOLE,ANGERS LOIRE METROPOLE,244900015,49007,302399,Metropole
285,Archipels,ARCHIPELS,,,,
286,Communauté de Communes Fier et Usses,CC FIER ET USSES,247400567,,16057,EPCI
287,Communauté de Communes Entre Juine et Renarde,CC ENTRE JUINE ET RENARDE,249100553,,,EPCI
288,Ville de croix,VILLE DE CROIX,215901638,59163,21157,Commune
290,CA Pays Basque,CA PAYS BASQUE,202 067 106,,,EPCI
293,A la recherche d'un poste,A LA RECHERCHE D UN POSTE,,,,
296,UPEC université,UPEC UNIVERSITE,,,,
299,Archives départementales des Yvelines,ARCHIVES DEPARTEMENTALES DES YVELINES,,,,
304,CIG Versailles,CIG VERSAILLES,,,,
305,Eurométropole de Metz,EUROMETROPOLE DE METZ,,,,Metropole
306,Makina Corpus,MAKINA CORPUS,,,,
307,Département du Loiret,DU LOIRET,,,,Departement
309,region reunion,REGION REUNION,,,,Region
310,Commune de LES BELLEVILLE,LES BELLEVILLE,200084606,73257,3611,Commune
311,Commune Les Belleville,COMMUNE LES BELLEVILLE,200084606,73440,3611,Commune
312,La Poste,LA POSTE,,,,
313,Communauté d'agglomération du Cotentin,CA DU COTENTIN,200067205,,183572,EPCI
314,cdc de Lacq-orthez,CDC DE LACQ ORTHEZ,200 039 204,,,EPCI
317,Communauté d'Agglomération Arlysère,CA ARLYSERE,200068997,,63127,EPCI
318,BORDEAUX METROPOLE,BORDEAUX METROPOLE,243300316,,824449,Metropole
320,mairie de lambersart,LAMBERSART,215903287,59328,27835,Commune
321,Département du Rhône,DU RHONE,,,,Departement
323,Jazz Data,JAZZ DATA,,,,
324,Brittany ferries,BRITTANY FERRIES,,,,
328,Santé publique France,SANTE PUBLIQUE FRANCE,,,,
329,ESMA,ESMA,,,,
330,Ville de Marseille,VILLE DE MARSEILLE,211300553,13055,877095,Commune
335,École Nationale d'Administration Publique (ENAP),ECOLE NATIONALE D ADMINISTRATION PUBLIQUE  ENAP,,,,
337,Inspection Générale des Finances,INSPECTION GENERALE DES FINANCES,,,,
339,Association du réseau des Carif-Oref,ASSOCIATION DU RESEAU DES CARIF OREF,,,,
341,CcOMMUNE DE SENNECEY-LE-GRAND,CSENNECEY LE GRAND,217105121,71240,3144,Commune
342,ministère de la justice,MINISTERE DE LA JUSTICE,,,,
345,Saint-Louis Agglomération,SAINT LOUIS AGGLOMERATION,,,,EPCI
346,Mairie d'Orvault,ORVAULT,214401143,44114,27908,Commune
352,Ville de Vif,VILLE DE VIF,213805450,38545,8673,Commune
356,MEAE,MEAE,,,,
363,ARGENCES,ARGENCES,211400205,14020,3825,Commune
367,Mairie,MAIRIE,,,,
374,Département du Val d'Oise,DU VAL D OISE,,,,Departement
380,Maison Départementale de la Solidarité Tours Monconseil,MAISON DEPARTEMENTALE DE LA SOLIDARITE TOURS MONCONSEIL,,,,
383,saint etienne metropole,SAINT ETIENNE METROPOLE,244200770,,410565,Metropole
386,Conseil Départemental de la Seine Maritime,SEINE MARITIME,227605409,76,1276532,Departement
389,Conseil départemental de l'Isère,ISERE,223800012,38,1296116,Departement
391,Conseil départemental d'Indre-et-Loire,CONSEIL DEPARTEMENTAL D INDRE ET LOIRE,,,,
393,EPCI,EPCI,,,,EPCI
398,SDMIS,SDMIS,,,,
402,SIDEC du Jura,SIDEC DU JURA,,,,
406,Ville de Marseille,VILLE DE MARSEILLE,211300553,13055,877095,Commune
408,Conseil départemental du Val d'Oise,VAL D OISE,229501275,95,1259985,Departement
409,CC du HAUT BEARN,CC DU HAUT BEARN,200067262,,33252,EPCI
411,conseil départemental de la seine saint denis,SEINE SAINT DENIS,229300082,93,1651739,Departement
412,Mairie de Courchevel,COURCHEVEL,200064038,73227,2433,Commune
415,Conseil départemental de la Nièvre,NIEVRE,225800010,58,209860,Departement
419,Grand Poitiers Communauté Urbaine,GRAND POITIERS COMMUNAUTE URBAINE,,,,EPCI
423,Dijon métropole,DIJON METROPOLE,242100410,,260376,Metropole
426,Le Mans Métropole,LE MANS METROPOLE,,,,Metropole
429,Mairie AUCH,MAIRIE AUCH,213200132,32000,23276,Commune
430,Département du Loir et Cher,DU LOIR ET CHER,,,,Departement
432,Mairie de La Possession,LA POSSESSION,219740081,97408,33405,Commune
433,Département de Maine-et-Loire,MAINE ET LOIRE,224900019,49,838257,Departement
434,Ville de Douai,VILLE DE DOUAI,215901786,59178,40471,Commune
436,Mairie,MAIRIE,,,,
438,Département de La Réunion,LA REUNION,229740014,974,870870,Departement
440,CHATEAUROUX METROPOLE,CHATEAUROUX METROPOLE,243600327,,72767,Metropole
441,Eurométropole de Strasbourg,EUROMETROPOLE DE STRASBOURG,246700488,,510718,Metropole
442,SYNDICAT MIXTE MEGALIS BRETAGNE,SYNDICAT MIXTE MEGALIS BRETAGNE,,,,
448,Insee,INSEE,,,,
